ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),delivery_time_mins,weather_clean,is_late,distance_km,traffic_factor,weather_factor,speed_kmmin,seg_idx,tempo_estimado,dist_norm,adverso_norm
0x22ad,BANGRES03DEL03,27,4.6,12.979166,77.640709,13.069166,77.730709,04/03/22,21:25:00,21:40:00,conditions Sandstorms,Jam,0,Buffet,motorcycle,1,No,Metropolitian,(min) 29,29,Sandstorms,0,13.97,2.0,1.5,0.4817241379310345,3,106.16691732375693,0.6666666666666667,0.9090909090909091
0x628c,BANGRES15DEL02,31,4.8,12.975377,77.696664,13.025377,77.746664,01/03/22,22:15:00,22:25:00,conditions Sandstorms,Low,1,Snack,scooter,0,No,Metropolitian,(min) 24,24,Sandstorms,0,7.76,1.0,1.5,0.3233333333333333,0,29.48658834761467,0.33333333333333337,0.22727272727272727
0xa480,BANGRES19DEL02,27,4.6,12.914264,77.6784,12.994264,77.7584,31/03/22,23:30:00,23:35:00,conditions Sunny,Low,0,Drinks,motorcycle,1,No,Metropolitian,(min) 21,21,Sunny,0,12.42,1.0,1.0,0.5914285714285714,3,31.462493752351737,0.583467525496511,0.0
0x1602,BANGRES010DEL03,21,4.9,12.933298,77.614293,13.023298,77.704293,12/03/22,17:45:00,18:00:00,conditions Windy,Medium,0,Drinks,motorcycle,2,No,Metropolitian,(min) 36,36,Windy,1,13.97,1.3,1.2,0.3880555555555556,3,55.20679700835361,0.6666666666666667,0.2545454545454546
0x20f6,BANGRES11DEL03,20,4.6,12.934365,77.616155,13.024365,77.706155,18/03/22,20:35:00,20:50:00,conditions Fog,Jam,0,Buffet,motorcycle,0,Yes,Metropolitian,(min) 44,44,Fog,1,13.97,2.0,1.4,0.3175,3,99.08912283550647,0.6666666666666667,0.818181818181818
0xa0a5,BANGRES14DEL03,26,4.8,12.949934,77.699386,13.009934,77.759386,09/03/22,19:35:00,19:40:00,conditions Sandstorms,Jam,0,Snack,motorcycle,1,No,Metropolitian,(min) 23,23,Sandstorms,0,9.32,2.0,1.5,0.40521739130434786,3,70.82860912365174,0.4170692431561997,0.9090909090909091
0x1568,BANGRES01DEL01,36,4.8,12.933284,77.615428,13.003284,77.685428,06/03/22,17:55:00,18:10:00,conditions Fog,Medium,0,Snack,motorcycle,1,No,Metropolitian,(min) 43,43,Fog,1,10.87,1.3,1.4,0.2527906976744186,3,50.1155474154811,0.5002683843263553,0.37272727272727263
0x2192,BANGRES07DEL01,32,4.1,12.978453,77.643685,13.048453,77.713685,29/03/22,18:15:00,18:30:00,conditions Sandstorms,Medium,0,Buffet,motorcycle,1,No,Metropolitian,(min) 33,33,Sandstorms,1,10.87,1.3,1.5,0.32939393939393935,3,53.69522937372976,0.5002683843263553,0.4318181818181819
0x78bf,BANGRES04DEL02,39,4.4,12.98041,77.640489,13.11041,77.770489,29/03/22,18:10:00,18:15:00,conditions Sunny,Medium,0,Meal,motorcycle,1,No,Metropolitian,(min) 33,33,Sunny,1,20.18,1.3,1.0,0.6115151515151515,3,66.45628511265663,1.0,0.13636363636363638
0x1e2d,BANGRES13DEL01,34,4.7,12.935662,77.61413,12.975662,77.65413,03/04/22,16:00:00,16:15:00,conditions Windy,Medium,1,Snack,motorcycle,1,No,Metropolitian,(min) 30,30,Windy,0,6.21,1.3,1.2,0.207,3,24.540745126834352,0.25013419216317767,0.2545454545454546
0x98ca,BANGRES17DEL02,33,4.7,12.972532,77.608179,13.022532,77.658179,09/03/22,18:10:00,18:25:00,conditions Fog,Medium,2,Buffet,electric_scooter,1,No,Urban,(min) 15,15,Fog,0,7.76,1.3,1.4,0.5173333333333333,7,35.77706052843913,0.33333333333333337,0.37272727272727263
0xab33,BANGRES08DEL02,27,4.9,12.906229,77.596791,12.986229,77.676791,02/03/22,23:25:00,23:40:00,conditions Fog,Low,2,Drinks,scooter,0,No,Metropolitian,(min) 20,20,Fog,0,12.42,1.0,1.4,0.621,0,44.04749125329243,0.583467525496511,0.18181818181818177
0x7646,BANGRES010DEL02,26,4.8,12.933298,77.614293,13.013298,77.694293,27/03/22,19:30:00,19:40:00,conditions Cloudy,Jam,0,Snack,motorcycle,1,No,Metropolitian,(min) 43,43,Cloudy,1,12.42,2.0,1.1,0.2888372093023256,3,69.21748625517382,0.583467525496511,0.5454545454545455
0xaefa,BANGRES06DEL03,29,4.5,12.979096,77.640625,13.009096,77.670625,03/04/22,18:45:00,18:50:00,conditions Sunny,Medium,0,Snack,motorcycle,0,No,Metropolitian,(min) 15,15,Sunny,0,4.66,1.3,1.0,0.3106666666666667,3,15.346198643457877,0.16693505099302203,0.13636363636363638
0x7c60,BANGRES010DEL01,38,4.1,12.933298,77.614293,12.943298,77.624293,05/03/22,11:50:00,11:55:00,conditions Stormy,High,0,Buffet,motorcycle,1,Yes,Metropolitian,(min) 41,41,Stormy,1,1.55,1.6,1.6,0.03780487804878049,3,10.051785443585484,0.0,0.7090909090909092
0x7b03,BANGRES07DEL01,20,4.5,12.978453,77.643685,13.048453,77.713685,02/03/22,20:25:00,20:35:00,conditions Windy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,(min) 27,27,Windy,0,10.87,2.0,1.2,0.40259259259259256,3,66.08643615228277,0.5002683843263553,0.6363636363636362
0xbe78,BANGRES15DEL02,29,4.5,12.975377,77.696664,13.055377,77.776664,31/03/22,22:25:00,22:40:00,conditions Windy,Low,1,Snack,scooter,0,No,Urban,(min) 13,13,Windy,0,12.42,1.0,1.2,0.9553846153846154,1,37.754992502822084,0.583467525496511,0.09090909090909088
0xa4eb,BANGRES01DEL02,22,4.8,12.933284,77.615428,12.953284,77.635428,26/03/22,9:40:00,9:45:00,conditions Sunny,Low,1,Drinks,motorcycle,1,No,Metropolitian,(min) 18,18,Sunny,0,3.11,1.0,1.0,0.17277777777777778,3,7.87828949837471,0.08373590982286634,0.0
0x5b70,BANGRES04DEL02,24,4.6,12.98041,77.640489,13.06041,77.720489,23/03/22,18:30:00,18:40:00,conditions Windy,Medium,2,Snack,electric_scooter,0,No,Urban,(min) 24,24,Windy,0,12.42,1.3,1.2,0.5175,7,49.081490253668704,0.583467525496511,0.2545454545454546
0x31bd,BANGRES09DEL02,28,4.8,12.934179,77.615797,12.954179,77.635797,17/03/22,11:00:00,11:05:00,conditions Sunny,Low,1,Buffet,scooter,1,No,Urban,(min) 18,18,Sunny,0,3.11,1.0,1.0,0.17277777777777778,1,7.87828949837471,0.08373590982286634,0.0
0x8094,BANGRES13DEL02,31,4.0,12.935662,77.61413,13.015662,77.69413,12/03/22,23:45:00,23:55:00,conditions Cloudy,Low,0,Drinks,motorcycle,1,No,Metropolitian,(min) 35,35,Cloudy,1,12.42,1.0,1.1,0.35485714285714287,3,34.60874312758691,0.583467525496511,0.04545454545454549
0x7df5,BANGRES16DEL03,37,4.1,13.029198,77.570997,13.059198,77.600997,15/03/22,17:45:00,18:00:00,conditions Windy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,(min) 38,38,Windy,1,4.66,1.3,1.2,0.12263157894736842,3,18.415438372149453,0.16693505099302203,0.2545454545454546
0xa56e,BANGRES20DEL03,31,4.9,12.972161,77.596014,13.002161,77.626014,03/04/22,20:30:00,20:35:00,conditions Sunny,Jam,0,Meal,motorcycle,0,No,Metropolitian,(min) 28,28,Sunny,0,4.66,2.0,1.0,0.16642857142857143,3,23.60953637455058,0.16693505099302203,0.45454545454545453
0x6de1,BANGRES04DEL03,36,4.2,12.98041,77.640489,13.01041,77.670489,01/04/22,18:30:00,18:35:00,conditions Sandstorms,Medium,0,Drinks,motorcycle,1,No,Metropolitian,(min) 37,37,Sandstorms,1,4.66,1.3,1.5,0.12594594594594594,3,23.019297965186816,0.16693505099302203,0.4318181818181819
0x4dfa,BANGRES16DEL01,22,4.0,13.029198,77.570997,13.039198,77.580997,13/03/22,9:45:00,9:55:00,conditions Sandstorms,Low,0,Snack,motorcycle,1,No,Urban,(min) 28,28,Sandstorms,0,1.55,1.0,1.5,0.05535714285714286,4,5.889718033350869,0.0,0.22727272727272727
0x1a54,BANGRES15DEL01,32,4.0,12.975377,77.696664,13.045377,77.766664,23/03/22,18:45:00,18:50:00,conditions Windy,Medium,0,Buffet,motorcycle,3,Yes,Urban,(min) 49,49,Windy,1,10.87,1.3,1.2,0.22183673469387755,4,42.956183498983805,0.5002683843263553,0.2545454545454546
0x9201,BANGRES08DEL01,29,4.6,12.906229,77.596791,13.016229,77.706791,04/04/22,21:45:00,21:50:00,conditions Windy,Jam,0,Meal,motorcycle,1,No,Urban,(min) 29,29,Windy,0,17.08,2.0,1.2,0.5889655172413792,4,103.84142865510485,0.8336017176596886,0.6363636363636362
0xa940,BANGRES010DEL03,22,4.7,12.933298,77.614293,13.023298,77.704293,20/03/22,20:15:00,20:30:00,conditions Sunny,Jam,0,Snack,motorcycle,0,No,Metropolitian,(min) 24,24,Sunny,0,13.97,2.0,1.0,0.5820833333333334,3,70.77794488250463,0.6666666666666667,0.45454545454545453
0x7c9e,BANGRES20DEL02,35,4.8,12.972161,77.596014,12.992161,77.616014,13/03/22,10:00:00,10:05:00,conditions Sandstorms,Low,2,Snack,scooter,0,No,Metropolitian,(min) 29,29,Sandstorms,0,3.11,1.0,1.5,0.10724137931034482,0,11.817434247562066,0.08373590982286634,0.22727272727272727
0x80c2,BANGRES08DEL02,39,5.0,12.906229,77.596791,13.036229,77.726791,02/03/22,23:10:00,23:15:00,conditions Cloudy,Low,0,Meal,motorcycle,1,No,Metropolitian,(min) 41,41,Cloudy,1,20.18,1.0,1.1,0.4921951219512195,3,56.232241249171004,1.0,0.04545454545454549
0x26f1,BANGRES01DEL01,37,4.7,12.933284,77.615428,13.003284,77.685428,06/04/22,17:20:00,17:35:00,conditions Cloudy,Medium,1,Buffet,motorcycle,0,No,Metropolitian,(min) 40,40,Cloudy,1,10.87,1.3,1.1,0.27175,3,39.37650154073516,0.5002683843263553,0.19545454545454552
0x9151,BANGRES14DEL02,34,4.4,12.949934,77.699386,12.999934,77.749386,05/03/22,21:45:00,22:00:00,conditions Stormy,Jam,2,Buffet,scooter,1,No,Urban,(min) 31,31,Stormy,1,7.76,2.0,1.6,0.2503225806451613,1,62.90472180824463,0.33333333333333337,1.0
0x70f5,BANGRES17DEL02,33,4.7,12.972532,77.608179,12.992532,77.628179,05/04/22,8:30:00,8:35:00,conditions Fog,Low,2,Drinks,scooter,1,No,Metropolitian,(min) 18,18,Fog,0,3.11,1.0,1.4,0.17277777777777778,0,11.029605297724594,0.08373590982286634,0.18181818181818177
0x4f9a,BANGRES20DEL01,31,4.4,12.972161,77.596014,13.042161,77.666014,12/03/22,20:25:00,20:30:00,conditions Sandstorms,Jam,0,Buffet,motorcycle,1,No,Metropolitian,(min) 44,44,Sandstorms,1,10.87,2.0,1.5,0.24704545454545454,3,82.60804519035347,0.5002683843263553,0.9090909090909091
0x7943,BANGRES12DEL02,25,4.8,12.939496,77.625999,13.069496,77.755999,29/03/22,17:45:00,18:00:00,conditions Fog,Medium,2,Drinks,scooter,0,No,Metropolitian,(min) 30,30,Fog,0,20.18,1.3,1.4,0.6726666666666666,0,93.03879915771928,1.0,0.37272727272727263
0x6948,BANGRES15DEL02,39,3.5,12.975377,77.696664,13.055377,77.776664,16/03/22,22:15:00,22:20:00,conditions Cloudy,Low,2,Meal,motorcycle,0,No,Urban,(min) 32,32,Cloudy,1,12.42,1.0,1.1,0.388125,4,34.60874312758691,0.583467525496511,0.04545454545454549
0x3d57,BANGRES08DEL02,29,4.5,12.906229,77.596791,13.036229,77.726791,18/03/22,20:55:00,21:00:00,conditions Cloudy,Jam,2,Snack,scooter,1,No,Urban,(min) 30,30,Cloudy,0,20.18,2.0,1.1,0.6726666666666666,1,112.46448249834201,1.0,0.5454545454545455
0x5aa4,BANGRES12DEL01,25,4.5,12.939496,77.625999,12.979496,77.665999,15/03/22,14:25:00,14:30:00,conditions Windy,High,1,Snack,scooter,1,No,Urban,(min) 16,16,Windy,0,6.21,1.6,1.2,0.388125,1,30.203994002257666,0.25013419216317767,0.4181818181818181
0x5145,BANGRES11DEL01,29,4.3,12.934365,77.616155,12.974365,77.656155,30/03/22,12:25:00,12:40:00,conditions Cloudy,High,1,Meal,scooter,1,No,Urban,(min) 33,33,Cloudy,1,6.21,1.6,1.1,0.18818181818181817,1,27.68699450206953,0.25013419216317767,0.3454545454545455
0x91ba,BANGRES08DEL01,24,4.8,12.906229,77.596791,13.016229,77.706791,29/03/22,18:55:00,19:10:00,conditions Sandstorms,Medium,1,Snack,scooter,1,No,Urban,(min) 29,29,Sandstorms,0,17.08,1.3,1.5,0.5889655172413792,1,84.37116078227268,0.8336017176596886,0.4318181818181819
0xaea,BANGRES19DEL01,23,5.0,12.914264,77.6784,13.024264,77.7884,23/03/22,23:55:00,0:05:00,conditions Sandstorms,Low,1,Meal,scooter,1,No,Urban,(min) 11,11,Sandstorms,0,17.08,1.0,1.5,1.5527272727272725,1,64.90089290944053,0.8336017176596886,0.22727272727272727
0x5d47,BANGRES09DEL01,34,4.3,12.934179,77.615797,13.044179,77.725797,29/03/22,18:15:00,18:25:00,conditions Sandstorms,Medium,0,Snack,motorcycle,1,No,Metropolitian,(min) 35,35,Sandstorms,1,17.08,1.3,1.5,0.48799999999999993,3,84.37116078227268,0.8336017176596886,0.4318181818181819
0x6b51,BANGRES16DEL01,31,4.8,13.029198,77.570997,13.039198,77.580997,21/03/22,9:45:00,10:00:00,conditions Fog,Low,0,Meal,motorcycle,1,No,Metropolitian,(min) 26,26,Fog,0,1.55,1.0,1.4,0.05961538461538462,3,5.49707016446081,0.0,0.18181818181818177
0x3b1e,BANGRES02DEL02,21,4.7,12.970221,77.645396,13.100221,77.775396,23/03/22,19:35:00,19:45:00,conditions Sandstorms,Jam,1,Meal,motorcycle,0,No,Metropolitian,(min) 29,29,Sandstorms,0,20.18,2.0,1.5,0.6958620689655173,3,153.36065795228455,1.0,0.9090909090909091
0x9797,BANGRES010DEL01,38,4.3,12.933298,77.614293,13.043298,77.724293,02/03/22,19:25:00,19:40:00,conditions Sunny,Jam,2,Snack,scooter,0,No,Metropolitian,(min) 31,31,Sunny,1,17.08,2.0,1.0,0.5509677419354838,0,86.53452387925404,0.8336017176596886,0.45454545454545453
0x2e2a,BANGRES03DEL02,23,4.8,12.979166,77.640709,12.999166,77.660709,15/03/22,10:35:00,10:45:00,conditions Fog,Low,1,Buffet,motorcycle,1,No,Urban,(min) 11,11,Fog,0,3.11,1.0,1.4,0.2827272727272727,4,11.029605297724594,0.08373590982286634,0.18181818181818177
0x3318,BANGRES010DEL02,25,4.7,12.933298,77.614293,13.063298,77.744293,20/03/22,17:50:00,17:55:00,conditions Sandstorms,Medium,2,Meal,scooter,1,No,Urban,(min) 23,23,Sandstorms,0,20.18,1.3,1.5,0.8773913043478261,1,99.68442766898494,1.0,0.4318181818181819
0x33be,BANGRES02DEL02,28,4.9,12.970221,77.645396,13.020221,77.695396,07/03/22,17:20:00,17:25:00,conditions Stormy,Medium,2,Snack,scooter,1,No,Metropolitian,(min) 24,24,Stormy,0,7.76,1.3,1.6,0.3233333333333333,0,40.888069175359014,0.33333333333333337,0.4909090909090909
0x7ffc,BANGRES16DEL01,36,4.4,13.029198,77.570997,13.139198,77.680997,16/03/22,17:55:00,18:05:00,conditions Cloudy,Medium,1,Snack,motorcycle,1,No,Urban,(min) 31,31,Cloudy,1,17.07,1.3,1.1,0.5506451612903226,4,61.835959641246475,0.833064949006978,0.19545454545454552
0x3776,BANGRES04DEL01,25,5.0,12.98041,77.640489,12.99041,77.650489,17/03/22,12:00:00,12:10:00,conditions Cloudy,High,1,Drinks,scooter,1,No,Urban,(min) 32,32,Cloudy,1,1.55,1.6,1.1,0.0484375,1,6.91060249246502,0.0,0.3454545454545455
0x895b,BANGRES06DEL02,24,4.2,12.979096,77.640625,13.109096,77.770625,20/03/22,18:30:00,18:45:00,conditions Cloudy,Medium,2,Drinks,scooter,1,No,Metropolitian,(min) 35,35,Cloudy,1,20.18,1.3,1.1,0.5765714285714285,0,73.1019136239223,1.0,0.19545454545454552
0x4593,BANGRES17DEL03,31,4.8,12.972532,77.608179,13.062532,77.698179,16/03/22,17:10:00,17:15:00,conditions Windy,Medium,2,Drinks,scooter,0,No,Metropolitian,(min) 21,21,Windy,0,13.97,1.3,1.2,0.6652380952380953,0,55.20679700835361,0.6666666666666667,0.2545454545454546
0x7f7e,BANGRES01DEL02,28,4.9,12.933284,77.615428,12.983284,77.665428,09/03/22,17:45:00,17:55:00,conditions Windy,Medium,0,Meal,motorcycle,1,No,Metropolitian,(min) 13,13,Windy,0,7.76,1.3,1.2,0.5969230769230769,3,30.666051881519255,0.33333333333333337,0.2545454545454546
0x759d,BANGRES14DEL01,23,5.0,12.949934,77.699386,13.019934,77.769386,12/03/22,21:55:00,22:05:00,conditions Windy,Jam,2,Snack,electric_scooter,1,No,Metropolitian,(min) 27,27,Windy,0,10.87,2.0,1.2,0.40259259259259256,6,66.08643615228277,0.5002683843263553,0.6363636363636362
0x92dd,BANGRES09DEL01,34,4.7,12.934179,77.615797,12.974179,77.655797,28/03/22,12:45:00,13:00:00,conditions Fog,High,0,Buffet,motorcycle,1,No,Urban,(min) 26,26,Fog,0,6.21,1.6,1.4,0.23884615384615385,4,35.23799300263394,0.25013419216317767,0.5636363636363635
0x8bb9,BANGRES19DEL02,23,4.5,12.914264,77.6784,13.044264,77.8084,31/03/22,18:45:00,18:50:00,conditions Windy,Medium,2,Drinks,scooter,1,No,Urban,(min) 26,26,Windy,0,20.18,1.3,1.2,0.7761538461538462,1,79.74754213518796,1.0,0.2545454545454546
0xbeb1,BANGRES11DEL02,25,4.8,12.934365,77.616155,12.984365,77.666155,01/04/22,22:30:00,22:45:00,conditions Sunny,Low,1,Drinks,motorcycle,0,No,Metropolitian,(min) 22,22,Sunny,0,7.76,1.0,1.0,0.3527272727272727,3,19.657725565076447,0.33333333333333337,0.0
0x2c0b,BANGRES05DEL03,39,4.9,12.970324,77.645748,13.030324,77.705748,17/03/22,19:15:00,19:30:00,conditions Windy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,(min) 30,30,Windy,0,9.32,2.0,1.2,0.3106666666666667,3,56.66288729892139,0.4170692431561997,0.6363636363636362
0x8d35,BANGRES15DEL01,35,5.0,12.975377,77.696664,12.985377,77.706664,26/03/22,11:15:00,11:25:00,conditions Stormy,High,0,Snack,motorcycle,1,No,Metropolitian,(min) 43,43,Stormy,1,1.55,1.6,1.6,0.03604651162790698,3,10.051785443585484,0.0,0.7090909090909092
0x536c,BANGRES14DEL02,38,5.0,12.949934,77.699386,12.969934,77.719386,19/03/22,12:00:00,12:05:00,conditions Cloudy,High,0,Snack,motorcycle,0,No,Metropolitian,(min) 25,25,Cloudy,0,3.11,1.6,1.1,0.1244,3,13.865789517139492,0.08373590982286634,0.3454545454545455
0x8229,BANGRES19DEL01,26,4.9,12.914264,77.6784,12.984264,77.7484,31/03/22,21:35:00,21:40:00,conditions Sandstorms,Jam,2,Drinks,scooter,1,No,Metropolitian,(min) 17,17,Sandstorms,0,10.87,2.0,1.5,0.6394117647058823,0,82.60804519035347,0.5002683843263553,0.9090909090909091
0x1f3c,BANGRES09DEL02,22,5.0,12.934179,77.615797,13.064179,77.745797,06/04/22,21:10:00,21:25:00,conditions Sunny,Jam,0,Snack,motorcycle,2,No,Metropolitian,(min) 34,34,Sunny,1,20.18,2.0,1.0,0.5935294117647059,3,102.24043863485636,1.0,0.45454545454545453
0x8273,BANGRES08DEL01,35,5.0,12.906229,77.596791,12.946229,77.636791,01/04/22,14:55:00,15:00:00,conditions Cloudy,High,2,Drinks,scooter,1,No,Urban,(min) 37,37,Cloudy,1,6.21,1.6,1.1,0.16783783783783784,1,27.68699450206953,0.25013419216317767,0.3454545454545455
0xbd23,BANGRES13DEL02,34,4.8,12.935662,77.61413,12.955662,77.63413,05/04/22,8:20:00,8:30:00,conditions Fog,Low,1,Snack,scooter,1,No,Metropolitian,(min) 17,17,Fog,0,3.11,1.0,1.4,0.18294117647058822,0,11.029605297724594,0.08373590982286634,0.18181818181818177
0x3a89,BANGRES07DEL02,38,4.8,12.978453,77.643685,12.998453,77.663685,07/03/22,10:35:00,10:45:00,conditions Windy,Low,2,Buffet,electric_scooter,0,No,Metropolitian,(min) 27,27,Windy,0,3.11,1.0,1.2,0.11518518518518518,6,9.453947398049651,0.08373590982286634,0.09090909090909088
0x29fb,BANGRES18DEL03,35,4.6,12.913041,77.683237,13.003041,77.773237,02/03/22,18:10:00,18:20:00,conditions Sandstorms,Medium,0,Drinks,motorcycle,0,No,Metropolitian,(min) 37,37,Sandstorms,1,13.97,1.3,1.5,0.3775675675675676,3,69.00849626044202,0.6666666666666667,0.4318181818181819
0xb1a5,BANGRES14DEL01,23,5.0,12.949934,77.699386,13.059934,77.809386,16/03/22,18:30:00,18:35:00,conditions Fog,Medium,1,Buffet,scooter,1,No,Metropolitian,(min) 30,30,Fog,0,17.08,1.3,1.4,0.5693333333333332,0,78.74641673012117,0.8336017176596886,0.37272727272727263
0x5064,BANGRES13DEL03,21,4.2,12.935662,77.61413,12.995662,77.67413,07/03/22,23:40:00,23:45:00,conditions Stormy,Low,0,Buffet,motorcycle,0,No,Urban,(min) 23,23,Stormy,0,9.32,1.0,1.6,0.40521739130434786,4,37.77525819928093,0.4170692431561997,0.27272727272727276
0x7170,BANGRES03DEL02,23,4.6,12.979166,77.640709,13.029166,77.690709,03/03/22,18:55:00,19:00:00,conditions Stormy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,(min) 21,21,Stormy,0,7.76,1.3,1.6,0.36952380952380953,3,40.888069175359014,0.33333333333333337,0.4909090909090909
0x791a,BANGRES06DEL02,37,4.6,12.979096,77.640625,13.109096,77.770625,23/03/22,17:40:00,17:55:00,conditions Sunny,Medium,0,Drinks,motorcycle,1,No,Metropolitian,(min) 36,36,Sunny,1,20.18,1.3,1.0,0.5605555555555556,3,66.45628511265663,1.0,0.13636363636363638
0xb5db,BANGRES08DEL01,33,4.1,12.906229,77.596791,13.016229,77.706791,06/03/22,21:40:00,21:50:00,conditions Sandstorms,Jam,0,Snack,motorcycle,1,No,Urban,(min) 35,35,Sandstorms,1,17.08,2.0,1.5,0.48799999999999993,4,129.80178581888106,0.8336017176596886,0.9090909090909091
0x91cf,BANGRES18DEL01,37,4.7,12.913041,77.683237,12.983041,77.753237,14/03/22,18:35:00,18:45:00,conditions Sunny,Medium,0,Drinks,motorcycle,0,No,Metropolitian,(min) 39,39,Sunny,1,10.87,1.3,1.0,0.2787179487179487,3,35.796819582486506,0.5002683843263553,0.13636363636363638
0x3f7d,BANGRES010DEL02,36,4.8,12.933298,77.614293,12.983298,77.664293,03/04/22,23:35:00,23:40:00,conditions Windy,Low,1,Snack,motorcycle,0,No,Metropolitian,(min) 22,22,Windy,0,7.76,1.0,1.2,0.3527272727272727,3,23.589270678091736,0.33333333333333337,0.09090909090909088
0x9eec,BANGRES09DEL03,32,5.0,12.934179,77.615797,12.994179,77.675797,26/03/22,23:35:00,23:50:00,conditions Sunny,Low,2,Drinks,motorcycle,1,No,Metropolitian,(min) 16,16,Sunny,0,9.32,1.0,1.0,0.5825,3,23.60953637455058,0.4170692431561997,0.0
0x4351,BANGRES06DEL01,38,4.9,12.979096,77.640625,12.989096,77.650625,26/03/22,9:35:00,9:45:00,conditions Sunny,Low,0,Buffet,motorcycle,1,No,Urban,(min) 26,26,Sunny,0,1.55,1.0,1.0,0.05961538461538462,4,3.926478688900579,0.0,0.0
0x317c,BANGRES17DEL03,25,4.9,12.972532,77.608179,13.002532,77.638179,05/04/22,23:35:00,23:45:00,conditions Windy,Low,2,Drinks,scooter,1,No,Metropolitian,(min) 17,17,Windy,0,4.66,1.0,1.2,0.2741176470588235,0,14.165721824730348,0.16693505099302203,0.09090909090909088
